city_id,city_name,country,region,cost_of_living_index,rent_index,restaurant_price_index,latitude,longitude,travel_month,season,duration_days,num_travelers,accommodation_tier,travel_style,activity_density,flight_distance_km,num_stops,seasonality_multiplier,total_cost
city_paris,Paris,France,Europe,82.5,52.0,85.0,48.8566,2.3522,11,off-peak,3,1,luxury,explorer,low,5837.2,1,1.0,1457.01
city_rome,Rome,Italy,Europe,70.2,38.5,72.0,41.9028,12.4964,11,off-peak,21,1,luxury,explorer,low,6889.9,3,1.0,4715.42
city_barcelona,Barcelona,Spain,Europe,62.4,36.2,60.5,41.3851,2.1734,1,off-peak,3,2,budget,luxury,high,6166.1,1,1.0,3181.99
city_amsterdam,Amsterdam,Netherlands,Europe,80.6,56.4,78.0,52.3676,4.9041,11,off-peak,21,4,budget,explorer,high,5863.2,3,1.0,16306.12
city_prague,Prague,Czech Republic,Europe,51.3,29.8,48.2,50.0755,14.4378,5,shoulder,3,2,luxury,explorer,medium,6572.5,1,1.2,2539.14
city_vienna,Vienna,Austria,Europe,72.8,41.0,69.4,48.2082,16.3738,6,peak,3,1,mid,backpacker,medium,6796.3,1,1.5,1365.69
city_lisbon,Lisbon,Portugal,Europe,54.7,34.0,52.0,38.7223,-9.1393,6,peak,14,3,budget,luxury,medium,5422.0,3,1.5,10697.03
city_athens,Athens,Greece,Europe,56.2,22.4,54.0,37.9838,23.7275,7,peak,3,3,luxury,luxury,medium,7925.3,1,1.5,5215.72
city_tokyo,Tokyo,Japan,Asia,78.5,42.6,58.0,35.6762,139.6503,10,shoulder,5,1,budget,luxury,low,10851.7,1,1.2,2372.62
city_bangkok,Bangkok,Thailand,Asia,42.3,21.0,32.5,13.7563,100.5018,4,shoulder,3,4,mid,explorer,high,13932.0,1,1.2,6494.6
city_bali,Bali,Indonesia,Asia,38.0,18.5,28.0,-8.4095,115.1889,6,peak,5,3,mid,backpacker,high,16309.8,1,1.5,6694.87
city_singapore,Singapore,Singapore,Asia,89.2,75.4,72.0,1.3521,103.8198,11,off-peak,3,2,luxury,luxury,low,15332.5,1,1.0,5564.12
city_istanbul,Istanbul,Turkey,Asia,44.5,24.8,41.0,41.0082,28.9784,3,off-peak,10,4,mid,luxury,high,8069.8,2,1.0,10406.43
